Plugin ID,CVE_x,CVSS,Risk,Host,Port,CVSS.1,弱點名稱,問題描述,建議解決方式,CVE_y,CVSS v2.0 Base Score,Protocol,Name,Synopsis,Description,Solution,See Also,Plugin Output
41028,CVE-1999-0517,7.5,High,192.168.109.201,161,7.5,SNMP Agent Default Community Name (public),裝置上的SNMP伺服器的預設群組名稱可被猜測，值為：public，請參考：CVE-1999-0517。 相關資訊：192.168.109.201:161。,除非有特別需要，建議可關閉此服務，否則對UDP port進入的資料進行過濾或變更預設的SNMP community string。,CVE-1999-0517,7.5,udp,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"It is possible to obtain the default community name of the remote
SNMP server.

An attacker may use this information to gain more knowledge about the
remote host, or to change the configuration of the remote system (if
the default community allows such modifications).","Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",,"
The remote SNMP server replies to the following default community
string :

public"
10245,CVE-1999-0651,7.5,High,192.168.109.202,514,7.5,RSH service vulnerability,主機提供rsh服務，提供使用者遠端登入操作，但該服務本身並未提供加密連線，請參考：CVE-1999-0651。 相關資訊：192.168.109.202:514。,停止不安全的rsh服務。建議遠端維護主機，用SSH等加密連線服務取代。,CVE-1999-0651,7.5,tcp,rsh Service Detection,The rsh service is running on the remote host.,"The rsh service is running on the remote host. This service is
vulnerable since data is passed between the rsh client and server
in cleartext. A man-in-the-middle attacker can exploit this to sniff
logins and passwords. Also, it may allow poorly authenticated logins
without passwords. If the host is vulnerable to TCP sequence number
guessing (from any network) or IP spoofing (including ARP hijacking on
a local network) then it may be possible to bypass authentication.
Finally, rsh is an easy way to turn file-write access into full
logins through the .rhosts or rhosts.equiv files.","Comment out the 'rsh' line in /etc/inetd.conf and restart the inetd
process. Alternatively, disable this service and use SSH instead.",,
41028,CVE-1999-0517,7.5,High,192.168.109.202,161,7.5,SNMP Agent Default Community Name (public),裝置上的SNMP伺服器的預設群組名稱可被猜測，值為：public，請參考：CVE-1999-0517。 相關資訊：192.168.109.202:161。,除非有特別需要，建議可關閉此服務，否則對UDP port進入的資料進行過濾或變更預設的SNMP community string。,CVE-1999-0517,7.5,udp,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"It is possible to obtain the default community name of the remote
SNMP server.

An attacker may use this information to gain more knowledge about the
remote host, or to change the configuration of the remote system (if
the default community allows such modifications).","Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",,"
The remote SNMP server replies to the following default community
string :

public"
10245,CVE-1999-0651,7.5,High,192.168.109.203,514,7.5,RSH service vulnerability,主機提供rsh服務，提供使用者遠端登入操作，但該服務本身並未提供加密連線，請參考：CVE-1999-0651。 相關資訊：192.168.109.203:514。,停止不安全的rsh服務。建議遠端維護主機，用SSH等加密連線服務取代。,CVE-1999-0651,7.5,tcp,rsh Service Detection,The rsh service is running on the remote host.,"The rsh service is running on the remote host. This service is
vulnerable since data is passed between the rsh client and server
in cleartext. A man-in-the-middle attacker can exploit this to sniff
logins and passwords. Also, it may allow poorly authenticated logins
without passwords. If the host is vulnerable to TCP sequence number
guessing (from any network) or IP spoofing (including ARP hijacking on
a local network) then it may be possible to bypass authentication.
Finally, rsh is an easy way to turn file-write access into full
logins through the .rhosts or rhosts.equiv files.","Comment out the 'rsh' line in /etc/inetd.conf and restart the inetd
process. Alternatively, disable this service and use SSH instead.",,
41028,CVE-1999-0517,7.5,High,192.168.109.203,161,7.5,SNMP Agent Default Community Name (public),裝置上的SNMP伺服器的預設群組名稱可被猜測，值為：public，請參考：CVE-1999-0517。 相關資訊：192.168.109.203:161。,除非有特別需要，建議可關閉此服務，否則對UDP port進入的資料進行過濾或變更預設的SNMP community string。,CVE-1999-0517,7.5,udp,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"It is possible to obtain the default community name of the remote
SNMP server.

An attacker may use this information to gain more knowledge about the
remote host, or to change the configuration of the remote system (if
the default community allows such modifications).","Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",,"
The remote SNMP server replies to the following default community
string :

public"
41028,CVE-1999-0517,7.5,High,192.168.11.50,161,7.5,SNMP Agent Default Community Name (public),裝置上的SNMP伺服器的預設群組名稱可被猜測，值為：public，請參考：CVE-1999-0517。 相關資訊：192.168.11.50:161。,除非有特別需要，建議可關閉此服務，否則對UDP port進入的資料進行過濾或變更預設的SNMP community string。,CVE-1999-0517,7.5,udp,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"It is possible to obtain the default community name of the remote
SNMP server.

An attacker may use this information to gain more knowledge about the
remote host, or to change the configuration of the remote system (if
the default community allows such modifications).","Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",,"
The remote SNMP server replies to the following default community
string :

public"
41028,CVE-1999-0517,7.5,High,192.168.110.240,161,7.5,SNMP Agent Default Community Name (public),裝置上的SNMP伺服器的預設群組名稱可被猜測，值為：public，請參考：CVE-1999-0517。 相關資訊：192.168.110.240:161。,除非有特別需要，建議可關閉此服務，否則對UDP port進入的資料進行過濾或變更預設的SNMP community string。,CVE-1999-0517,7.5,udp,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"It is possible to obtain the default community name of the remote
SNMP server.

An attacker may use this information to gain more knowledge about the
remote host, or to change the configuration of the remote system (if
the default community allows such modifications).","Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",,"
The remote SNMP server replies to the following default community
string :

public"
10245,CVE-1999-0651,7.5,High,192.168.110.241,514,7.5,RSH service vulnerability,主機提供rsh服務，提供使用者遠端登入操作，但該服務本身並未提供加密連線，請參考：CVE-1999-0651。 相關資訊：192.168.110.241:514。,停止不安全的rsh服務。建議遠端維護主機，用SSH等加密連線服務取代。,CVE-1999-0651,7.5,tcp,rsh Service Detection,The rsh service is running on the remote host.,"The rsh service is running on the remote host. This service is
vulnerable since data is passed between the rsh client and server
in cleartext. A man-in-the-middle attacker can exploit this to sniff
logins and passwords. Also, it may allow poorly authenticated logins
without passwords. If the host is vulnerable to TCP sequence number
guessing (from any network) or IP spoofing (including ARP hijacking on
a local network) then it may be possible to bypass authentication.
Finally, rsh is an easy way to turn file-write access into full
logins through the .rhosts or rhosts.equiv files.","Comment out the 'rsh' line in /etc/inetd.conf and restart the inetd
process. Alternatively, disable this service and use SSH instead.",,
35291,,6.5,High,192.168.110.241,443,6.5,SSL Certificate Signed Using Weak Hashing Algorithm,SSL憑證的簽章採用較弱的雜湊演算法(sha1)，請參考：CVE-2004-2761。 相關資訊：192.168.110.241:443。,如為自簽憑證請，請使用較強的簽章演算法重新簽署。或聯絡憑證機構(CA)重新發放新的憑證。,CVE-2004-2761,5,tcp,SSL Certificate Signed Using Weak Hashing Algorithm,"An SSL certificate in the certificate chain has been signed using a
weak hash algorithm.","The remote service uses an SSL certificate chain that has been signed
using a cryptographically weak hashing algorithm (e.g. MD2, MD4, MD5,
or SHA1). These signature algorithms are known to be vulnerable to
collision attacks. An attacker can exploit this to generate another
certificate with the same digital signature, allowing an attacker to
masquerade as the affected service.

Note that this plugin reports all SSL certificate chains signed with
SHA-1 that expire after January 1, 2017 as vulnerable. This is in
accordance with Google's gradual sunsetting of the SHA-1 cryptographic
hash algorithm.

Note that certificates in the chain that are contained in the Nessus
CA database (known_CA.inc) have been ignored.",Contact the Certificate Authority to have the SSL certificate reissued.,"https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2
http://www.nessus.org/u?e120eea1
http://www.nessus.org/u?5d894816
http://www.nessus.org/u?51db68aa
http://www.nessus.org/u?9dc7bfba","
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

Subject             : C=jp/CN=RNP002673912F16
Signature Algorithm : SHA-1 With RSA Encryption
Valid From          : Feb 14 15:00:00 2016 GMT
Valid To            : Feb 14 15:00:00 2017 GMT
Raw PEM certificate : 
-----BEGIN CERTIFICATE-----
MIICzzCCAbegAwIBAgIJAJ4umYSAEQ0uMA0GCSqGSIb3DQEBBQUAMCcxCzAJBgNVBAYTAmpwMRgwFgYDVQQDEw9STlAwMDI2NzM5MTJGMTYwHhcNMTYwMjE0MTUwMDAwWhcNMTcwMjE0MTUwMDAwWjAnMQswCQYDVQQGEwJqcDEYMBYGA1UEAxMPUk5QMDAyNjczOTEyRjE2MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxDzxGMmjAwiZ3mumrZ9v/QRJpUWPoUt5ctP1u1QlA/JCcSR3vEriPbxfCWmotFcZsWo3W1Ndkrq+MpAqRliHC1HMgSFknA4NbhQOLa5F3S0nFW3eVDcyROU2MsrjcbJSabqPI4GvByahb0SpYNmwB/WJxQQQjv8MnKja/D4+gs/KbCJAj4cUTLWYpG20uoLF8O5uQ4ahbgL/yUfYSZnuhekcJ5aKC1pZdJldOC7sSDD2XK9jXrtxdjCo75HqijagVuzaVTXvqGz8MJ/sTraBGP6QoeR4sObMZUbmYHcJt9QOta6GuX6ax+MwYZtxLpYvhe/9OXYu4pc7PH3V4gP33wIDAQABMA0GCSqGSIb3DQEBBQUAA4IBAQAgCLRxySrbFTHCf0lOEG8HXxvWWWMu47lBQnI57TtjgmEBkAPvALWRlk2+GUFGoQjSK/56GKNIbjcgJONVcvNvqgLtEMqGZTG2Dx/Gm0RxW0cI30uNdyO1qf4Qm1p3MAMuqDDF/Il8UmsLB2NJRz+QWr+lvcZvCDjwBSaIi8F+Me72EAKdrf9y1oHUTDPFLJRqoTF9QGH+IS3Qw2lCjottm+dgvNabhrCgH3QNIRnPHxEE70TDzpBF5ylnoaqT8xLySTsYUg0ivTz2MPdrejfxeJk6yq95WErCjrh/HjpiPLUnoXuch+bPPMkFFA6J6z32h6Yjtfz/QlhhWgm62wTn
-----END CERTIFICATE-----
"
41028,CVE-1999-0517,7.5,High,192.168.110.241,161,7.5,SNMP Agent Default Community Name (public),裝置上的SNMP伺服器的預設群組名稱可被猜測，值為：public，請參考：CVE-1999-0517。 相關資訊：192.168.110.241:161。,除非有特別需要，建議可關閉此服務，否則對UDP port進入的資料進行過濾或變更預設的SNMP community string。,CVE-1999-0517,7.5,udp,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"It is possible to obtain the default community name of the remote
SNMP server.

An attacker may use this information to gain more knowledge about the
remote host, or to change the configuration of the remote system (if
the default community allows such modifications).","Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",,"
The remote SNMP server replies to the following default community
string :

public"
42873,CVE-2016-2183,6.7,High,192.168.110.241,443,6.7,SSL Medium Strength Cipher Suites Supported,SSL支援使用中等強度的加密器(Medium Ciphers)進行加密連線，請參考：CVE-2016-2183。 相關資訊：192.168.110.241:443。,建議更改受影響的應用程式設定值，讓連線僅允許支援加密強度較高的加密器(> 112-bit key)。,CVE-2016-2183,5,tcp,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"The remote host supports the use of SSL ciphers that offer medium
strength encryption. Nessus regards medium strength as any encryption
that uses key lengths at least 64 bits and less than 112 bits, or 
else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength
encryption if the attacker is on the same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info","
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EDH-RSA-DES-CBC3-SHA          0x00, 0x16       DH            RSA      3DES-CBC(168)          SHA1
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
"
10245,CVE-1999-0651,7.5,High,192.168.110.44,514,7.5,RSH service vulnerability,主機提供rsh服務，提供使用者遠端登入操作，但該服務本身並未提供加密連線，請參考：CVE-1999-0651。 相關資訊：192.168.110.44:514。,停止不安全的rsh服務。建議遠端維護主機，用SSH等加密連線服務取代。,CVE-1999-0651,7.5,tcp,rsh Service Detection,The rsh service is running on the remote host.,"The rsh service is running on the remote host. This service is
vulnerable since data is passed between the rsh client and server
in cleartext. A man-in-the-middle attacker can exploit this to sniff
logins and passwords. Also, it may allow poorly authenticated logins
without passwords. If the host is vulnerable to TCP sequence number
guessing (from any network) or IP spoofing (including ARP hijacking on
a local network) then it may be possible to bypass authentication.
Finally, rsh is an easy way to turn file-write access into full
logins through the .rhosts or rhosts.equiv files.","Comment out the 'rsh' line in /etc/inetd.conf and restart the inetd
process. Alternatively, disable this service and use SSH instead.",,
